;german;english;hour;minute
92;2brote mit Wurst und Käse;2 breads with sausage and cheese;12;1
93;2Graubrot mit Butter und Honig;2Grey bread with butter and honey;8;59
94;2x Brötchen mit Käse;2x rolls with cheese;8;30
95;2xKnäckebrot Finn Crisp, Magerine 10g, Gutfried wie Fleischwurst 40g;2x crispbread Finn Crisp, Magerine 10g, Gutfried like meat sausage 40g;20;55
96;3 eier 1l schokomilch;3 eggs 1l chocolate milk;16;30
97;3 Kaffee;3 coffees;8;0
98;3 Pizza Brötchen , 120 Gramm Krabbensalat;3 pizza rolls, 120 grams of crab salad;20;0
99;3 pizzabrötchen mit Schinken;3 pizza rolls with ham;12;0
100;3 Scheiben Brot, 2 Sahnejoghurt, 1EL Fleischsalat, Tomaten in Scheiben 3 Stück, Butter 1 TL, Marmelade 1EL;3 slices of bread, 2 cream yogurt, 1 tbsp meat salad, 3 sliced ​​tomatoes, 1 tsp butter, 1 tbsp jam;11;0
101;3 Scheiben Weizenbrot, Fleischsalat ca. 2 Esslöffel, 2 Scheiben Salami, 2 Teelöffel Honig, Butter;3 slices of wheat bread, meat salad about 2 tablespoons, 2 slices of salami, 2 teaspoons of honey, butter;8;40
102;30 g Veggie Aufstrich Tomate Basilikum & 1 Scheibe Käse;30 g veggie spread tomato basil & 1 slice of cheese;9;35
103;300 g Lachsfilet und fünf kleine Kartoffeln;300 g salmon fillet and five small potatoes;14;0
104;300 Gramm Erdbeeren mit einem Schuss Eierlikör;300 grams of strawberries with a dash of eggnog;18;0
105;"3x Knäckebrot Finn Crisp; Ziegenweichkäse 25g;Gutfried Wie Fleischwurst 40g; Magerine10g; Veggie Aufstrich Aubergine 10g";"3x crispbread Finn Crisp; Soft goat cheese 25g; Gutfried like meat sausage 40g; Magerine10g; Veggie spread eggplant 10g";17;53
106;3x Scheiben Brot mit Salami;3x slices of bread with salami;19;0
107;4 Gin mit Tonic (Zero), 2 Back Camenbert von Aldi;4 Gin with Tonic (Zero), 2 Back Camenbert from Aldi;22;30
108;4 saure Heringe mit Rest Pizzarolle;4 sour herrings with the rest of the pizza roll;17;0
109;4 Scheiben Weißbott, Butter 1TL, Salami 3 Scheiben, Marmelade 1EL, 1 Sahnejoghurt, Käse 2 Scheiben;4 slices of Weissbott, 1 teaspoon of butter, 3 slices of salami, 1 tablespoon of jam, 1 cream yogurt, 2 slices of cheese;11;0
110;4 Scheiben Weissbrot, 1TL Butter, 3 Scheiben Salami, 1 Sahnejoghurt, Marmelade 1EL, Käse 2 Scheiben, Weintrauben handvoll, tomaten, gurken, Mozzarela 3 kleine Kugeln, 1 Ei gekocht;4 slices of white bread, 1 tsp butter, 3 slices of salami, 1 cream yoghurt, 1 tbsp jam, 2 slices of cheese, handful of grapes, tomatoes, cucumbers, 3 small balls of mozzarella, 1 boiled egg;11;0
111;4 Schokoeier;4 chocolate eggs;15;30
112;4 Vollkorntoast, 1,5Eier,Veggie Fleischsalat ca 50g, 3 Scheiben Cheddar;4 wholemeal toast, 1.5 eggs, veggie meat salad approx. 50g, 3 slices of cheddar;12;24
113;400ml cola;400ml cola;22;27
114;4Toast, 50veggie Fleischsalat, Veganes chicken 185g, aioli ca 20g;4 toast, 50veggie meat salad, vegan chicken 185g, aioli approx. 20g;19;11
115;5 Oliven mit Frischkäse gefüllt und 1 Rührei mit Spargel;5 olives stuffed with cream cheese and 1 scrambled egg with asparagus;19;30
116;500 g lasange;500 g lasange;21;17
119;500 ml energy;500 ml energy;18;47
120;500 ml proteinshake;500 ml protein shake;16;29
121;500 ml selter;500 ml sparkling water;21;21
122;500 ml Wasser;500 ml water;14;5
123;500 ml Wasser mit creatin und Eaa;500 ml water with creatine and Eaa;20;5
126;500 ml Wasser und 500 ml energy;500 ml water and 500 ml energy;20;42
127;500g Frucht Buttermilch;500g fruit buttermilk;18;37
128;500g lasange;500g lasange;19;55
132;50g Zartbitterschokolade;50g dark chocolate;15;45
133;6 schokoeier;6 chocolate eggs;17;33
134;70 g Haferflocken, 30 g Eiweißpulver;70 g oat flakes, 30 g protein powder;9;0
136;Alpro 120g Haferjoghurt, 1/2 Apfel, 50g Knuspermüsli, 5gAgavendicksaft;Alpro 120g oat yoghurt, 1/2 apple, 50g crunchy muesli, 5g agave syrup;10;38
137;Alpro Hafer Joghurt 200g, 90g Knuspermüsli, 1/2 Apfel, 5gAgavendicksaft;Alpro oat yoghurt 200g, 90g crunchy muesli, 1/2 apple, 5g agave syrup;9;39
138;Aperol 1 Glas;Aperol 1 glass;19;36
139;Aperol Spritz ;Aperol Spritz;19;0
140;Apfel;Apple;12;0
142;Banane (eine);banana (one);20;32
143;Blaubeeren mit Quark ;Blueberries with quark;16;52
144;bretzel mit quark und Schnittlauch ;Pretzel with quark and chives;15;47
145;brot;bread;17;31
146;Brot mit Käse;bread with cheese;5;0
147;Brötchen ;Bun;12;34
148;Brötchen, 15g Magerine, 30g Ziegenweichkäse, 40g Schokostreusel, 1 Ei, 1/2 Apfel, 1/2 Käseschnecke vom Bäcker;Bun, 15g lean cheese, 30g soft goat cheese, 40g chocolate sprinkles, 1 egg, 1/2 apple, 1/2 cheese snail from the bakery;10;0
149;Brötchen, 30g erdnusscreme, 15g Himbeermarmelade;Bun, 30g peanut cream, 15g raspberry jam;10;7
150;Burger 500 g mit pommes;Burger 500 g with fries;20;41
151;Buttermilcheis;Buttermilk ice cream;19;0
152;ca. 200g Schokolade, 1gekochtes Ei;approx. 200g chocolate, 1 boiled egg;19;58
153;Chips ;Chips;22;0
154;Chips 85g;Chips 85g;21;0
155;"Corny Haselnuss; 1 Apfel";"Corny Hazelnut; 1 apple";14;46
156;Croissant ;croissant;10;0
157;croque mit Putenfleisch;croque with turkey meat;18;30
158;Currywurst und Pommes ;Currywurst and fries;18;0
159;dänischer Joghurt mit Erdbeeren und Keksen ;Danish yogurt with strawberries and cookies;14;0
160;das gleiche wie Dienstag (Reis, Spargel, Brokkoli etc) ;the same as Tuesday (rice, asparagus, broccoli etc);12;7
161;Dinkel Toast   Ei  Putensalami;Spelled toast egg turkey salami;11;20
162;Eierpfannkuchen, Tomatensalat, 2 Pizza Brötchen;Egg pancakes, tomato salad, 2 pizza rolls;13;30
163;ein kleines Baguette mit Schinken, Käse und Ei;a small baguette with ham, cheese and egg;19;15
164;ein Pfeffer, Steak ;a pepper, steak;17;0
165;ein Stück Erdbeerrolle und eine Kaffee mit Hafermilch;a piece of strawberry roll and a coffee with oat milk;17;0
167;ein Stückkuchen ;a piece of cake;15;0
168;ein Teller Hühnersuppe mit Reis;a plate of chicken soup with rice;18;30
169;ein Teller Lauchsuppe 😋;a plate of leek soup 😋;14;20
170;ein weissesbrötchen mit käse;a white bun with cheese;9;0
171;eine Banane und eine Scheibe Eiweiß Brot mit Homos;a banana and a slice of egg white bread with humus;10;0
172;eine kleine Banane;a small banana;9;0
173;eine kleine Pizza 🍕 ;a small pizza 🍕;17;30
174;eine Scheibe Dinkel Toast mit einer Scheibe Käse, Light und einer Scheibe Pute, Aufschnitt;a slice of spelled toast with a slice of cheese, light and a slice of turkey, cold cuts;19;0
175;eine Scheibe Dinkel Toast mit Honig und eine Banane;a slice of spelled toast with honey and a banana;8;7
176;eine Scheibe Dinkel Toast mit Honig und zwei Becher Kaffee;a slice of spelled toast with honey and two cups of coffee;7;25
177;eine Scheibe Dinkel Toast mit Putensalami;a slice of spelled toast with turkey salami;20;0
178;eine Scheibe Toast mit Käse;a slice of toast with cheese;12;0
179;eine Scheibe Vollkorn Toast mit Krabben Salat und zwei kleine Frikadellen Rind;a slice of whole wheat toast with crab salad and two small beef meatballs;20;7
180;eine Tüte Linsenchips😊;a bag of lentil chips😊;21;0
182;einen Aperol Spritz;an Aperol Spritz;18;0
183;Eiweiß Pudding;Protein pudding;0;0
184;Erdbeeren ;Strawberries;16;0
186;fertigpizza mit Spinat ;ready-made pizza with spinach;18;30
187;Fitness Salat mit Scampi und einem Stück Knoblauchbaguette;Fitness salad with scampi and a piece of garlic baguette;18;0
188;Flammkuchen;Tarte;17;30
189;frisch gebackenes Brötchen, 1Ei und Frischkäse mit Marmelade;freshly baked bread roll, 1 egg and cream cheese with jam;9;0
190;Fritz Limo Apfel Kirsch Holunder ;Fritz Limo Apple Cherry Elderberry;14;30
191;Fritz Limo Zitrone;Fritz lemonade lemon;16;27
192;Frosties 44g Milch 164g;Frosties 44g Milk 164g;8;46
193;Frühstück im Café mit Freudin! 1 Brötchen, 2 Scheiben Vollkornbrot, 2 Scheiben Gouda, 1/4 Camembert 15 Gramm Butter, 200 Gramm Weintrauben;Breakfast in the café with friend! 1 roll, 2 slices of wholemeal bread, 2 slices of Gouda, 1/4 Camembert, 15 grams of butter, 200 grams of grapes;10;30
194;Frühstück wie gestern ;Breakfast like yesterday;9;0
195;geschnitzeltes mit Reis;schnitzel with rice;14;0
196;geschnitzeltes und Nudeln;schnitzel and noodles;14;30
197;Gouda streifen;Gouda strips;12;5
198;Haferflocken 50 g;Oat flakes 50 g;8;0
199;halbe Tüte Linsenchips;half a bag of lentil chips;21;51
200;Harbo Pommes sauer 10 x;Haribo fries sour 10 x;19;0
201;jumbodöner mit süskatoffelpommes 0,4 cola;jumbo kebab with sweet potato fries 0.4 cola;15;30
203;Kaffee;Coffee;17;0
204;"Kantine: Spinat Feta Quiche ca 300g; kleiner grüner Salat mit Essig Öl Dressing; Kartoffelsuppe 100ml, Quark mit Ananas ca 100g";"Canteen: Spinach Feta Quiche approx. 300g; small green salad with vinegar oil dressing; Potato soup 100ml, quark with pineapple approx. 100g";12;0
205;Kartoffel Brot Käse Lieberwurscht ;Potato Bread Cheese Leberwurst;9;30
206;Kartoffeln und Senfeier mit Fisch ;Potatoes and mustard with fish;18;0
207;Kartoffelpüre mit Fischstäbchen (2 Stück);Mashed potatoes with fish fingers (2 pieces);18;0
208;Kartoffelpüree selbstgemacht Gulasch und Steckrübe ;Homemade mashed potatoes, goulash and turnip;18;30
209;käsebrötchen 500ml energy;cheese rolls 500ml energy;15;3
210;Käseplatte 8-10 Scheiben Käse verschiede Sorten;Cheese plate 8-10 slices of cheese of different types;15;0
211;Kleine Portion Gemüselasagne, 4 Scheiben Toastbrot mit Fleischsalat, 6 Stück Schokolade, 3 Kekse Mittelgroß;Small portion of vegetable lasagna, 4 slices of toast with meat salad, 6 pieces of chocolate, 3 medium-sized biscuits;13;0
212;Körner Müsli ohne Zucker, mit 2 kleinen Äpfel und Soja Joghurt ohne Zucker;Grain muesli without sugar, with 2 small apples and soy yogurt without sugar;9;26
213;Körner Müsli, wie Dienstag ;Grains muesli, like Tuesday;9;0
214;lacksei Brötchen ;Salmon eggs rolls;15;3
215;Lauchsuppe  😊;Leek soup 😊;14;30
216;Lindt Schokolade 40 Gramm;Lindt chocolate 40 grams;15;50
217;Macaroni&Cheese 375g , 825 kcal;Macaroni & Cheese 375g, 825 kcal;12;54
218;mc crispy chicken Menu ;mc crispy chicken menu;15;0
219;Mit frisckäse gefülte Paprika 150g;Peppers stuffed with cream cheese 150g;18;52
220;Mit Rinderhack gefüllte Zucchini, Reis,  Champion und Zwiebeln überbacken mit Käse ;Zucchini stuffed with minced beef, rice, champion and onions baked with cheese;18;0
221;Mittag: Auberginen und Tomaten Auflauf mit Schafskäse, dazu Reis ;Lunch: Eggplant and tomato casserole with sheep's cheese, with rice;14;0
222;Mittlere Portion Pommes mit Mayonaise;Medium portion of fries with mayonaise;19;35
223;Müsli;Muesli;0;0
224;Nudeln 130 Gramm, Tomatensoße mit Tunfisch und Parmesankäse;Pasta 130 grams, tomato sauce with tuna and parmesan cheese;13;0
225;Nudeln Hähnchenkeulenfleisch eingelegt, Tomatensalat;Pasta, pickled chicken leg meat, tomato salad;20;6
226;nudeln mit etwas Sherrytomaten und Krabben;noodles with some sherry tomatoes and shrimp;15;0
227;nudeln mit Hähnchen und Pilzen;pasta with chicken and mushrooms;12;10
228;Nudeln mit Tomatensosse, 5 Stück Schockolade;Pasta with tomato sauce, 5 pieces of chocolate;18;0
229;Nüsse Handvoll, Schokolade 6-7 Stück, 3 Stück Äpfel;Nuts handful, chocolate 6-7 pieces, 3 pieces apples;16;0
230;Nutella ;Nutella;6;20
231;PeterPane HoldeMaid, Vegetarischer Burger groß, Süßkartoffelpomes kleine Portion, Mayodipp dazu, Cola;PeterPane HoldeMaid, large vegetarian burger, small portion of sweet potato fries, mayo dip, cola;20;0
232;Porridge mit Banane;Porridge with banana;8;0
233;Proteinshake (30g vegan Protein Cookies n Cream von Proteinworks & Hafer dink ca 300ml);Protein shake (30g vegan Protein Cookies n Cream from Proteinworks & Oat dink approx. 300ml);12;57
234;Quark Eiweiß Kiwi 🥝 ;Quark protein kiwi 🥝;12;0
235;Quark, Eiweißpulver, Blaubeeren;Quark, protein powder, blueberries;14;0
236;Ravioli mit Spinat, antipasti und Lasagne;Ravioli with spinach, antipasti and lasagna;13;30
237;reis Hähnchen ;rice chicken;17;45
238;Reis mit Fenchel,  paprika,  Karotten,  Zucchini und Lauchzwiebeln und 2 Hähnchenschenjek;Rice with fennel, peppers, carrots, zucchini and spring onions and 2 chicken thighs;18;0
239;romana Salat ca 100g, Gurke 100g, Dressing wie Montag, Ziegenweichkäse 30g, 2Eier;romaine lettuce approx. 100g, cucumber 100g, dressing like Monday, soft goat cheese 30g, 2 eggs;13;46
240;Sandwich ;sandwich;10;0
241;Scampis in Olivenöl ca. 15 Stück, 1 Glas Weissweinschorle, 1 große Portion Teramisu;Scampis in olive oil approx. 15 pieces, 1 glass of white wine spritzer, 1 large portion of teramisu;21;0
242;Schinken Käse Baguette ;Ham cheese baguette;20;0
243;Schokokuchen ;chocolate cake;15;57
244;Schwarzbrot, Tomate Ei Käse Nutella ;Brown bread, tomato egg cheese Nutella;6;15
245;Schwarzbrot, Tomate Spiegelei ;Brown bread, tomato fried egg;6;16
246;Schwarzbrot, Tomate, zwei Spiegeleier;Brown bread, tomato, two fried eggs;6;10
247;Skyr Apfel Banane Müsli ;Skyr apple banana muesli;7;48
248;Spagetti mit Bolognese;Spaghetti with Bolognese;12;30
250;Spargel Suppe ;Asparagus soup;14;0
251;Spargel Suppe, mit grünen Spargel (selber gemacht) und Basen Brot 60gramm -gestern noch gebacken;Asparagus soup, with green asparagus (homemade) and base bread 60 grams - baked yesterday;13;53
252;Speck ;bacon;12;34
253;sub 30cm mit stake und salatgedöns kocki 0,5l Mountain Dew;sub 30cm with stake and salad kocki 0.5l Mountain Dew;13;7
254;"Sushireis 75g; Brokkoli 100g;Grüner Spargel 150g; Erdnussmus 15g; 100gTofu; Sojasauce; Zitronensaft";"Sushi rice 75g; Broccoli 100g; Green asparagus 150g; peanut butter 15g; 100g tofu; Soy sauce; lemon juice";13;15
255;Teller Kartoffelgratin;Plate of potato gratin;13;0
256;Tofu Sushi ca 160g -  lt. nährwerttabelle 170kcal - 6g Eiweis;Tofu sushi approx. 160g - according to the nutritional table 170kcal - 6g protein;21;30
257;Tomate Käse Ei  Schwarzbrot;Tomato cheese egg brown bread;8;45
258;Tortellini 675 Kcal;Tortellini 675 kcal;19;29
259;Über den Tag verteilt acht Becher Kaffee;Eight cups of coffee throughout the day;0;0
260;Über den Tag verteilt so fünf Schokoladenostereier und ein etwas größeres bisschen Kekse;Five chocolate Easter eggs and a slightly larger bit of cookies spread throughout the day;0;0
261;und so zwischendurch ab und zu mal ein kleines Stück Schokolade;and a small piece of chocolate every now and then;0;0
262;veganz protein choc bar chocolate brownie style;veganz protein choc bar chocolate brownie style;13;45
263;Veganz Protein Choc Bar cookie dough style;Veganz Protein Choc Bar cookie dough style;9;18
264;Wasser 500 ml;Water 500 ml;15;13
266;Wiener Würstchen 90 g  , 2 Kugeln Eis;Vienna sausages 90 g, 2 scoops of ice cream;22;1
267;Wonder chunks chicken style 185g, 1EL Öl, All Seasons Pfannengemüse asiatischer Art ca 250g;Wonder chunks chicken style 185g, 1tbsp oil, All Seasons pan-fried vegetables Asian style approx 250g;20;9
268;Wrap mit Feta ca 100g, Oliven und Majo ca 30g;Wrap with feta approx. 100g, olives and mayo approx. 30g;17;0
269;yoghurt mit Blaubeeren und Himbeeren ;yogurt with blueberries and raspberries;14;0
270;Zimtschnecken klein 3 Stück;Cinnamon rolls small 3 pieces;13;0
272;zwei Becher Kaffee mit Milch;two cups of coffee with milk;16;45
273;Zwei Becher Kaffee und ein Stück Käsekuchen klein;Two cups of coffee and a small piece of cheesecake;16;44
274;Zwei Brötchen mit Wurst röstzwiebeln und Peperoni ;Two rolls with sausage, fried onions and pepperoni;11;36
275;zwei Dinkel Pfannkuchen mit 30 g Proteinpulver;two spelled pancakes with 30 g protein powder;14;0
276;zwei halbe Brötchen;two half rolls;6;20
278;zwei Scheiben Dinkel Toast, eins mit Marmelade, eins mit Honig und dann zwei Becher Kaffee;two slices of spelled toast, one with jam, one with honey and then two cups of coffee;10;6
279;zwei Scheiben, Dinkel Toast mit Krabben, Salat und zwei Eier gekocht und drei Becher Kaffee;two slices of spelled toast with crabs, salad and two boiled eggs and three mugs of coffee;9;45
280;zwei Scheiben, Eiweiß, Brot, Avocado und ein Ei und Kaffee;two slices, egg whites, bread, avocado and an egg and coffee;10;0
